Cell_Type,Dataset,Cell_Class,Label,Hodge_2018,Bakken_2019,Class_Level1,Class_Level2
CGE_LAMP5,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_CGE_LAMP5,,,CGE,LAMP5/PAX6
CGE_MGE_CHST9,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_CGE.MGE_CHST9,,,MGE,
CGE_NDNF,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_CGE_NDNF,,,CGE,
CGE_VIP,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_CGE_VIP,,,CGE,VIP
CGE_VIP_MBP,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_CGE_VIP_MBP,,,CGE,VIP
EC_L2_CUX2_CALB1,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_CUX2_CALB1,,,,L2
EC_L2_CUX2_IL1RAPL2,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_CUX2_IL1RAPL2,,,,L2
EC_L2_CUX2_LAMA3,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_CUX2_LAMA3,,,,L2
EC_L2_CUX2_PDGFD,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_CUX2_PDGFD,,,,L2
EC_L2_RELN_BCL11B,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_RELN_BCL11B,,,,L2
EC_L2_RELN_BMPR1B,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_RELN_BMPR1B,,,,L2
EC_L3_PCP4_ADARB2,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L3_PCP4_ADARB2,,,,L3
EC_L5_BCL11B_ADRA1A,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L5_BCL11B_ADRA1A,,,,L5
EC_L5_RORB_TLL1,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L5_RORB_TLL1,,,RORB,L5
EC_L5_RORB_TPBG,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L5_RORB_TPBG,,,RORB,L5
EC_L56_TLE4_NXPH2,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L56_TLE4_NXPH2,,,,L5-6
EC_L6_THEMIS_CDH13,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L6_THEMIS_CDH13,,,,L6
EC_L6_THEMIS_RGS12,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L6_THEMIS_RGS12,,,,L6
EC_L6_TLE4_SULF1,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L6_TLE4_SULF1,,,,L6
EC_L6b_TLE4_CCN2,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L6b_TLE4_CCN2,,,,L6
